Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2017-01-13,1.0,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2016,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Australia,,92.0,,MS Wade
2017-01-15,2.0,,Melbourne Cricket Ground,2016,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Pakistan,,,6.0,Mohammad Hafeez
2017-01-19,3.0,Perth,Western Australia Cricket Association Ground,2016,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,field,Australia,,,7.0,SPD Smith
2017-01-22,4.0,,Sydney Cricket Ground,2016,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Australia,,86.0,,DA Warner
2017-01-26,5.0,,Adelaide Oval,2016,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Australia,,57.0,,DA Warner
2016-12-04,1.0,,Sydney Cricket Ground,2016,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,Australia,bat,Australia,,68.0,,SPD Smith
2016-12-06,2.0,Canberra,Manuka Oval,2016,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,field,Australia,,116.0,,DA Warner
2016-12-09,3.0,,Melbourne Cricket Ground,2016,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,Australia,bat,Australia,,117.0,,DA Warner
2016-09-08,1.0,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",2016,Hong Kong in Scotland ODI Series,ODI,50,"Scotland, Hong Kong",Scotland,Hong Kong,international,Hong Kong,field,,no result,,,
2016-09-10,2.0,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",2016,Hong Kong in Scotland ODI Series,ODI,50,"Scotland, Hong Kong",Scotland,Hong Kong,international,Scotland,bat,Scotland,,53.0,,
2016-06-11,1.0,,Harare Sports Club,2016,India in Zimbabwe ODI Series,ODI,50,"Zimbabwe, India",Zimbabwe,India,international,India,field,India,,,9.0,KL Rahul
2016-06-13,2.0,,Harare Sports Club,2016,India in Zimbabwe ODI Series,ODI,50,"Zimbabwe, India",Zimbabwe,India,international,India,field,India,,,8.0,YS Chahal
2016-06-15,3.0,,Harare Sports Club,2016,India in Zimbabwe ODI Series,ODI,50,"Zimbabwe, India",Zimbabwe,India,international,Zimbabwe,bat,India,,,10.0,KL Rahul
2016-12-26,1.0,Christchurch,Hagley Oval,2016,Bangladesh in New Zealand ODI Series,ODI,50,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,New Zealand,bat,New Zealand,,77.0,,TWM Latham
2016-12-29,2.0,Nelson,Saxton Oval,2016,Bangladesh in New Zealand ODI Series,ODI,50,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,field,New Zealand,,67.0,,NT Broom
2016-12-31,3.0,Nelson,Saxton Oval,2016,Bangladesh in New Zealand ODI Series,ODI,50,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,bat,New Zealand,,,8.0,KS Williamson
2017-01-30,1.0,Auckland,Eden Park,2016,Chappell-Hadlee Trophy,ODI,50,"New Zealand, Australia",New Zealand,Australia,international,Australia,field,New Zealand,,6.0,,MP Stoinis
2017-02-05,3.0,Hamilton,Seddon Park,2016,Chappell-Hadlee Trophy,ODI,50,"New Zealand, Australia",New Zealand,Australia,international,New Zealand,bat,New Zealand,,24.0,,TA Boult
2017-02-19,1.0,Hamilton,Seddon Park,2016,South Africa in New Zealand ODI Series,ODI,50,"New Zealand, South Africa",New Zealand,South Africa,international,South Africa,field,South Africa,,,4.0,Q de Kock
2017-02-22,2.0,Christchurch,Hagley Oval,2016,South Africa in New Zealand ODI Series,ODI,50,"New Zealand, South Africa",New Zealand,South Africa,international,South Africa,field,New Zealand,,6.0,,LRPL Taylor
2017-02-25,3.0,Wellington,Westpac Stadium,2016,South Africa in New Zealand ODI Series,ODI,50,"New Zealand, South Africa",New Zealand,South Africa,international,South Africa,bat,South Africa,,159.0,,AB de Villiers
2017-03-01,4.0,Hamilton,Seddon Park,2016,South Africa in New Zealand ODI Series,ODI,50,"New Zealand, South Africa",New Zealand,South Africa,international,South Africa,bat,New Zealand,,,7.0,MJ Guptill
2017-03-04,5.0,Auckland,Eden Park,2016,South Africa in New Zealand ODI Series,ODI,50,"New Zealand, South Africa",New Zealand,South Africa,international,South Africa,field,South Africa,,,6.0,K Rabada
2017-06-01,1.0,London,Kennington Oval,2017,ICC Champions Trophy,ODI,50,"England, Bangladesh",England,Bangladesh,international,England,field,England,,,8.0,JE Root
