Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2017-02-17,1.0,,Melbourne Cricket Ground,2016,Sri Lanka in Australia T20I Series,T20,20,"Australia, Sri Lanka",Australia,Sri Lanka,international,Sri Lanka,field,Sri Lanka,,,5.0,DAS Gunaratne
2017-02-19,2.0,Victoria,"Simonds Stadium, South Geelong",2016,Sri Lanka in Australia T20I Series,T20,20,"Australia, Sri Lanka",Australia,Sri Lanka,international,Sri Lanka,field,Sri Lanka,,,2.0,DAS Gunaratne
2017-02-22,3.0,,Adelaide Oval,2016,Sri Lanka in Australia T20I Series,T20,20,"Australia, Sri Lanka",Australia,Sri Lanka,international,Sri Lanka,field,Australia,,41.0,,A Zampa
2016-09-05,1.0,Londonderry,"Bready Cricket Club, Magheramason",2016,Hong Kong in Ireland T20I Series,T20,20,"Ireland, Hong Kong",Ireland,Hong Kong,international,Hong Kong,bat,Hong Kong,,40.0,,
2016-06-18,1.0,,Harare Sports Club,2016,India in Zimbabwe T20I Series,T20,20,"Zimbabwe, India",Zimbabwe,India,international,India,field,Zimbabwe,,2.0,,E Chigumbura
2016-06-20,2.0,,Harare Sports Club,2016,India in Zimbabwe T20I Series,T20,20,"Zimbabwe, India",Zimbabwe,India,international,Zimbabwe,bat,India,,,10.0,BB Sran
2016-06-22,3.0,,Harare Sports Club,2016,India in Zimbabwe T20I Series,T20,20,"Zimbabwe, India",Zimbabwe,India,international,Zimbabwe,field,India,,3.0,,KM Jadhav
2017-01-03,1.0,Napier,McLean Park,2016,Bangladesh in New Zealand T20I Series,T20,20,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,bat,New Zealand,,,6.0,KS Williamson
2017-01-06,2.0,Mount Maunganui,Bay Oval,2016,Bangladesh in New Zealand T20I Series,T20,20,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,field,New Zealand,,47.0,,C Munro
2017-01-08,3.0,Mount Maunganui,Bay Oval,2016,Bangladesh in New Zealand T20I Series,T20,20,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,field,New Zealand,,27.0,,CJ Anderson
